Sun May 18 17:11:39 IST 2025: ALERT: CPU=1.1, MEM=98.2234, DISK=36, SERVICE=active
Sun May 18 17:11:40 IST 2025: ALERT: CPU=4.4, MEM=97.8832, DISK=36, SERVICE=active
Sun May 18 17:12:41 IST 2025: ALERT: CPU=1.1, MEM=98.174, DISK=36, SERVICE=active
Sun May 18 17:12:41 IST 2025: ALERT: CPU=5.6, MEM=98.0908, DISK=36, SERVICE=active
Sun May 18 17:13:42 IST 2025: ALERT: CPU=4.5, MEM=98.2967, DISK=36, SERVICE=active
Sun May 18 17:13:42 IST 2025: ALERT: CPU=38.8, MEM=97.8118, DISK=36, SERVICE=active
Sun May 18 17:14:43 IST 2025: ALERT: CPU=2.2, MEM=97.6179, DISK=36, SERVICE=active
Sun May 18 17:14:44 IST 2025: ALERT: CPU=4.5, MEM=96.9019, DISK=36, SERVICE=active
Sun May 18 17:15:44 IST 2025: ALERT: CPU=3.4, MEM=97.2737, DISK=36, SERVICE=active
Sun May 18 17:15:44 IST 2025: ALERT: CPU=15.5, MEM=97.326, DISK=36, SERVICE=active
Sun May 18 17:16:47 IST 2025: ALERT: CPU=4.6, MEM=97.8633, DISK=36, SERVICE=active
Sun May 18 17:16:47 IST 2025: ALERT: CPU=4.6, MEM=97.8633, DISK=36, SERVICE=active
Sun May 18 17:17:48 IST 2025: ALERT: CPU=2.2, MEM=97.1309, DISK=36, SERVICE=active
Sun May 18 17:17:48 IST 2025: ALERT: CPU=2.2, MEM=97.1309, DISK=36, SERVICE=active
Sun May 18 17:18:50 IST 2025: ALERT: CPU=1.2, MEM=97.6169, DISK=36, SERVICE=active
Sun May 18 17:18:50 IST 2025: ALERT: CPU=1.1, MEM=97.6345, DISK=36, SERVICE=active
Sun May 18 17:19:51 IST 2025: ALERT: CPU=2.3, MEM=97.8367, DISK=36, SERVICE=active
Sun May 18 17:19:51 IST 2025: ALERT: CPU=2.2, MEM=97.8543, DISK=36, SERVICE=active
Sun May 18 17:20:52 IST 2025: OK: CPU=6.4, MEM=98.2189, DISK=36, SERVICE=active
Sun May 18 17:20:52 IST 2025: OK: CPU=6.4, MEM=98.2189, DISK=36, SERVICE=active
Sun May 18 17:21:53 IST 2025: OK: CPU=3.3, MEM=98.3272, DISK=36, SERVICE=active
Sun May 18 17:21:53 IST 2025: OK: CPU=3.3, MEM=98.3272, DISK=36, SERVICE=active
Sun May 18 17:22:53 IST 2025: OK: CPU=10.1, MEM=97.7539, DISK=36, SERVICE=active
Sun May 18 17:22:53 IST 2025: OK: CPU=9.9, MEM=97.7836, DISK=36, SERVICE=active
Sun May 18 17:23:53 IST 2025: OK: CPU=2.2, MEM=97.7227, DISK=36, SERVICE=active
Sun May 18 17:23:53 IST 2025: OK: CPU=2.2, MEM=97.7464, DISK=36, SERVICE=active
Sun May 18 17:24:53 IST 2025: OK: CPU=11.4, MEM=98.0412, DISK=36, SERVICE=active
Sun May 18 17:24:53 IST 2025: OK: CPU=11.2, MEM=98.0943, DISK=36, SERVICE=active
Sun May 18 17:25:07 IST 2025: OK: CPU=21.5, MEM=98.1956, DISK=36, SERVICE=active
Sun May 18 17:25:54 IST 2025: OK: CPU=7, MEM=98.6212, DISK=36, SERVICE=active
Sun May 18 17:25:54 IST 2025: OK: CPU=7, MEM=98.6212, DISK=36, SERVICE=active
Sun May 18 17:25:55 IST 2025: OK: CPU=17.6, MEM=98.0607, DISK=36, SERVICE=active
Sun May 18 17:26:07 IST 2025: OK: CPU=12.5, MEM=98.1618, DISK=36, SERVICE=active
Sun May 18 17:26:54 IST 2025: OK: CPU=2.2, MEM=98.8566, DISK=36, SERVICE=active
Sun May 18 17:26:54 IST 2025: OK: CPU=2.2, MEM=98.8566, DISK=36, SERVICE=active
Sun May 18 17:26:55 IST 2025: OK: CPU=13.5, MEM=98.2143, DISK=36, SERVICE=active
Sun May 18 17:27:07 IST 2025: OK: CPU=3.4, MEM=98.5222, DISK=36, SERVICE=active
Sun May 18 17:27:54 IST 2025: OK: CPU=4.6, MEM=98.4123, DISK=36, SERVICE=active
Sun May 18 17:27:54 IST 2025: OK: CPU=4.4, MEM=98.4597, DISK=36, SERVICE=active
Sun May 18 17:27:55 IST 2025: OK: CPU=16, MEM=97.7871, DISK=36, SERVICE=active
Sun May 18 17:28:07 IST 2025: OK: CPU=1.2, MEM=98.1109, DISK=36, SERVICE=active
Sun May 18 17:28:42 IST 2025: OK: CPU=18.6, MEM=97.9559, DISK=36, SERVICE=active
Sun May 18 17:28:54 IST 2025: OK: CPU=2.3, MEM=97.9532, DISK=36, SERVICE=active
Sun May 18 17:28:54 IST 2025: OK: CPU=3.4, MEM=97.86, DISK=36, SERVICE=active
Sun May 18 17:28:55 IST 2025: OK: CPU=2.1, MEM=98.1205, DISK=36, SERVICE=active
Sun May 18 17:29:08 IST 2025: OK: CPU=6.6, MEM=98.3349, DISK=36, SERVICE=active
Sun May 18 17:29:42 IST 2025: OK: CPU=6.5, MEM=98.0283, DISK=36, SERVICE=active
Sun May 18 17:29:55 IST 2025: OK: CPU=2.2, MEM=98.2228, DISK=36, SERVICE=active
Sun May 18 17:29:55 IST 2025: OK: CPU=2.2, MEM=98.2525, DISK=36, SERVICE=active
Sun May 18 17:29:56 IST 2025: OK: CPU=3.2, MEM=98.808, DISK=36, SERVICE=active
Sun May 18 17:30:08 IST 2025: OK: CPU=6.5, MEM=97.9293, DISK=36, SERVICE=active
Sun May 18 17:30:42 IST 2025: OK: CPU=6.6, MEM=98.2917, DISK=36, SERVICE=active
Sun May 18 17:30:55 IST 2025: OK: CPU=16, MEM=97.5554, DISK=36, SERVICE=active
Sun May 18 17:30:55 IST 2025: OK: CPU=16.7, MEM=97.5762, DISK=36, SERVICE=active
Sun May 18 17:30:56 IST 2025: OK: CPU=1.1, MEM=97.6555, DISK=36, SERVICE=active
Sun May 18 17:31:08 IST 2025: OK: CPU=1.1, MEM=98.0669, DISK=36, SERVICE=active
Sun May 18 17:31:43 IST 2025: OK: CPU=8.8, MEM=98.5313, DISK=36, SERVICE=active
Sun May 18 17:31:55 IST 2025: OK: CPU=7.7, MEM=98.7065, DISK=36, SERVICE=active
Sun May 18 17:31:55 IST 2025: OK: CPU=8, MEM=98.7302, DISK=36, SERVICE=active
Sun May 18 17:31:56 IST 2025: OK: CPU=20.4, MEM=97.9013, DISK=36, SERVICE=active
Sun May 18 17:32:09 IST 2025: ALERT: CPU=1.2, MEM=98.19, DISK=36, SERVICE=active
Sun May 18 17:32:44 IST 2025: OK: CPU=17.3, MEM=98.9521, DISK=36, SERVICE=active
Sun May 18 17:33:38 IST 2025: ALERT: CPU=18, MEM=99.3284, DISK=36, SERVICE=active
Sun May 18 17:33:38 IST 2025: ALERT: CPU=18, MEM=99.3284, DISK=36, SERVICE=active
Sun May 18 17:35:32 IST 2025: ALERT: CPU=13.1, MEM=99.3554, DISK=36, SERVICE=active
Sun May 18 17:35:32 IST 2025: ALERT: CPU=18.2, MEM=99.2253, DISK=36, SERVICE=active
Sun May 18 17:35:38 IST 2025: ALERT: CPU=39.6, MEM=99.1013, DISK=36, SERVICE=active
Sun May 18 17:37:18 IST 2025: OK: CPU=12.8, MEM=97.0447, DISK=36, SERVICE=active
Sun May 18 17:37:18 IST 2025: OK: CPU=10.8, MEM=97.0624, DISK=36, SERVICE=active
Sun May 18 17:37:18 IST 2025: OK: CPU=12.6, MEM=97.0624, DISK=36, SERVICE=active
Sun May 18 17:37:18 IST 2025: OK: CPU=12.8, MEM=97.0624, DISK=36, SERVICE=active
Sun May 18 17:37:18 IST 2025: OK: CPU=8, MEM=97.0593, DISK=36, SERVICE=active
Sun May 18 17:38:18 IST 2025: OK: CPU=4.5, MEM=96.5984, DISK=36, SERVICE=active
Sun May 18 17:38:18 IST 2025: OK: CPU=4.5, MEM=96.5984, DISK=36, SERVICE=active
Sun May 18 17:38:18 IST 2025: OK: CPU=4.5, MEM=96.5984, DISK=36, SERVICE=active
Sun May 18 17:38:18 IST 2025: OK: CPU=4.4, MEM=96.5984, DISK=36, SERVICE=active
Sun May 18 17:38:18 IST 2025: OK: CPU=3.6, MEM=96.5926, DISK=36, SERVICE=active
Sun May 18 17:39:18 IST 2025: OK: CPU=2.4, MEM=96.1208, DISK=36, SERVICE=active
Sun May 18 17:39:18 IST 2025: OK: CPU=3.4, MEM=96.1089, DISK=36, SERVICE=active
Sun May 18 17:39:18 IST 2025: OK: CPU=3.4, MEM=96.1208, DISK=36, SERVICE=active
Sun May 18 17:39:18 IST 2025: OK: CPU=3.4, MEM=96.1089, DISK=36, SERVICE=active
Sun May 18 17:39:18 IST 2025: OK: CPU=3.4, MEM=96.1504, DISK=36, SERVICE=active
Sun May 18 17:40:19 IST 2025: OK: CPU=26.2, MEM=95.4878, DISK=36, SERVICE=active
Sun May 18 17:40:19 IST 2025: OK: CPU=27.1, MEM=95.4878, DISK=36, SERVICE=active
Sun May 18 17:40:19 IST 2025: OK: CPU=27.1, MEM=95.4878, DISK=36, SERVICE=active
Sun May 18 17:40:19 IST 2025: OK: CPU=25.6, MEM=95.4878, DISK=36, SERVICE=active
Sun May 18 17:40:19 IST 2025: OK: CPU=25, MEM=95.4878, DISK=36, SERVICE=active
Sun May 18 17:41:19 IST 2025: OK: CPU=4.5, MEM=96.4124, DISK=36, SERVICE=active
Sun May 18 17:41:19 IST 2025: OK: CPU=3.5, MEM=96.4064, DISK=36, SERVICE=active
Sun May 18 17:41:19 IST 2025: OK: CPU=3.5, MEM=96.4064, DISK=36, SERVICE=active
Sun May 18 17:41:19 IST 2025: OK: CPU=4.5, MEM=96.4124, DISK=36, SERVICE=active
Sun May 18 17:41:19 IST 2025: OK: CPU=3.4, MEM=96.4124, DISK=36, SERVICE=active
Sun May 18 17:42:19 IST 2025: OK: CPU=5.7, MEM=97.1357, DISK=36, SERVICE=active
Sun May 18 17:42:19 IST 2025: OK: CPU=5.7, MEM=97.1357, DISK=36, SERVICE=active
Sun May 18 17:42:19 IST 2025: OK: CPU=5.7, MEM=97.1357, DISK=36, SERVICE=active
Sun May 18 17:42:19 IST 2025: OK: CPU=6.6, MEM=97.1299, DISK=36, SERVICE=active
Sun May 18 17:42:19 IST 2025: OK: CPU=6.6, MEM=97.1299, DISK=36, SERVICE=active
Sun May 18 17:43:19 IST 2025: OK: CPU=26.4, MEM=96.8986, DISK=36, SERVICE=active
Sun May 18 17:43:19 IST 2025: OK: CPU=26.4, MEM=96.8926, DISK=36, SERVICE=active
Sun May 18 17:43:19 IST 2025: OK: CPU=26.4, MEM=96.8926, DISK=36, SERVICE=active
Sun May 18 17:43:19 IST 2025: OK: CPU=25.8, MEM=96.8926, DISK=36, SERVICE=active
